Fecha,Consumo,Consumo_Minimo,Consumo_Maximo
2023-04-28,1573,1520,1697
2023-04-29,515,450,626
2023-04-30,592,519,735
2023-05-01,1098,969,1242
2023-05-02,1683,1632,1787
2023-05-03,1725,1548,1911
2023-05-04,1546,1413,1726
2023-05-05,1738,1549,1818
2023-05-06,400,227,489
2023-05-07,430,348,515
2023-05-08,1768,1618,1823
2023-05-09,1004,943,1119
2023-05-10,1217,1101,1341
2023-05-11,1502,1388,1555
2023-05-12,1766,1643,1894
2023-05-13,582,490,765
2023-05-14,506,413,673
2023-05-15,1014,936,1176
2023-05-16,1553,1363,1696
2023-05-17,1460,1399,1571
2023-05-18,1690,1546,1818
2023-05-19,1574,1479,1759
2023-05-20,530,351,605
2023-05-21,540,456,633
2023-05-22,1563,1433,1745
2023-05-23,1095,956,1214
2023-05-24,1733,1676,1900
2023-05-25,1484,1342,1601
2023-05-26,1406,1267,1474
2023-05-27,530,366,599
2023-05-28,536,382,698
2023-05-29,1654,1470,1843
2023-05-30,1170,1063,1266
2023-05-31,1540,1377,1590
2023-06-01,1035,911,1174
2023-06-02,1524,1355,1715
2023-06-03,459,389,572
2023-06-04,486,299,573
2023-06-05,1242,1092,1328
2023-06-06,1085,937,1260
2023-06-07,1795,1710,1983
2023-06-08,1577,1432,1726
2023-06-09,1681,1595,1807
2023-06-10,344,283,396
2023-06-11,361,199,544
2023-06-12,1645,1583,1704
2023-06-13,1795,1723,1849
2023-06-14,1027,879,1214
2023-06-15,1619,1465,1798
2023-06-16,1555,1476,1617
2023-06-17,585,519,764
2023-06-18,427,265,560
2023-06-19,1505,1394,1619
2023-06-20,1347,1214,1459
2023-06-21,1472,1311,1622
2023-06-22,1230,1095,1352
2023-06-23,1189,999,1255
2023-06-24,524,456,582
2023-06-25,582,433,774
2023-06-26,1632,1443,1719
2023-06-27,1627,1431,1770
2023-06-28,1744,1619,1888
2023-06-29,1258,1200,1356
2023-06-30,1358,1281,1476
2023-07-01,497,320,608
2023-07-02,436,335,563
2023-07-03,1317,1185,1483
2023-07-04,1676,1516,1845
2023-07-05,1224,1031,1410
2023-07-06,1233,1067,1358
2023-07-07,1683,1565,1767
2023-07-08,451,303,501
2023-07-09,459,270,548
2023-07-10,1607,1533,1720
2023-07-11,1471,1299,1670
2023-07-12,1232,1130,1341
2023-07-13,1691,1498,1804
2023-07-14,1112,1006,1254
2023-07-15,351,263,472
2023-07-16,567,409,627
2023-07-17,1509,1418,1663
2023-07-18,1385,1194,1448
2023-07-19,1386,1215,1495
2023-07-20,1112,930,1191
2023-07-21,1612,1488,1696
2023-07-22,412,217,466
2023-07-23,380,255,512
2023-07-24,1698,1640,1870
2023-07-25,1112,989,1239
2023-07-26,1001,807,1112
2023-07-27,1641,1585,1822
2023-07-28,1219,1029,1357
2023-07-29,353,167,444
2023-07-30,523,447,661
2023-07-31,1224,1053,1419
2023-08-01,1384,1330,1473
2023-08-02,1402,1324,1523
2023-08-03,1637,1505,1725
2023-08-04,1129,944,1282
2023-08-05,352,194,415
2023-08-06,471,357,552
2023-08-07,1729,1594,1903
2023-08-08,1671,1477,1817
2023-08-09,1709,1589,1781
2023-08-10,1415,1321,1527
2023-08-11,1246,1065,1438
2023-08-12,502,417,696
2023-08-13,483,364,585
2023-08-14,1122,1054,1275
2023-08-15,1400,1243,1553
2023-08-16,1766,1626,1854
2023-08-17,1293,1154,1476
2023-08-18,1279,1211,1395
2023-08-19,397,309,581
2023-08-20,497,322,588
2023-08-21,1510,1320,1574
2023-08-22,1751,1576,1911
2023-08-23,1143,1036,1225
2023-08-24,1608,1411,1695
2023-08-25,1200,1090,1346
2023-08-26,423,247,505
2023-08-27,486,332,621
2023-08-28,1325,1275,1440
2023-08-29,1463,1283,1522
2023-08-30,1348,1207,1402
2023-08-31,1770,1608,1942
2023-09-01,1659,1554,1782
2023-09-02,551,385,697
2023-09-03,446,263,613
2023-09-04,1147,1040,1234
2023-09-05,1710,1617,1900
2023-09-06,1488,1378,1584
2023-09-07,1639,1543,1797
2023-09-08,1550,1352,1614
2023-09-09,428,299,613
2023-09-10,566,399,620
2023-09-11,1472,1276,1568
2023-09-12,1150,1081,1267
2023-09-13,1414,1219,1539
2023-09-14,1297,1201,1476
2023-09-15,1610,1512,1754
2023-09-16,562,499,726
2023-09-17,551,359,636
2023-09-18,1143,1093,1218
2023-09-19,1345,1179,1437
2023-09-20,1623,1520,1699
2023-09-21,1571,1404,1689
2023-09-22,1001,949,1198
2023-09-23,553,360,613
2023-09-24,439,378,562
2023-09-25,1452,1329,1605
2023-09-26,1036,971,1123
2023-09-27,1159,1008,1342
2023-09-28,1008,842,1080
2023-09-29,1232,1175,1328
2023-09-30,398,227,537
2023-10-01,446,305,541
2023-10-02,1207,1068,1363
2023-10-03,1130,945,1319
2023-10-04,1403,1294,1593
2023-10-05,1151,1074,1304
2023-10-06,1053,903,1213
2023-10-07,419,329,572
2023-10-08,460,266,569
2023-10-09,1627,1437,1776
2023-10-10,1586,1491,1703
2023-10-11,1624,1540,1806
2023-10-12,1419,1236,1588
2023-10-13,1421,1290,1507
2023-10-14,403,239,524
2023-10-15,553,457,729
2023-10-16,1226,1167,1381
2023-10-17,1111,1006,1252
2023-10-18,1509,1430,1589
2023-10-19,1472,1314,1643
2023-10-20,1098,1044,1284
2023-10-21,452,284,552
2023-10-22,493,411,571
2023-10-23,1162,995,1251
2023-10-24,1719,1605,1809
2023-10-25,1680,1485,1740
2023-10-26,1160,1100,1210
2023-10-27,1579,1445,1674
2023-10-28,588,513,738
2023-10-29,576,464,774
2023-10-30,1503,1368,1642
2023-10-31,1391,1283,1550
2023-11-01,1134,1058,1240
2023-11-02,1194,1047,1244
2023-11-03,1400,1246,1512
2023-11-04,427,279,531
2023-11-05,332,154,496
2023-11-06,1687,1489,1879
2023-11-07,1459,1355,1657
2023-11-08,1469,1414,1571
2023-11-09,1374,1230,1560
2023-11-10,1021,839,1127
2023-11-11,537,386,703
2023-11-12,457,405,541
2023-11-13,1037,965,1149
2023-11-14,1229,1127,1303
2023-11-15,1364,1232,1503
2023-11-16,1562,1368,1686
2023-11-17,1437,1303,1524
2023-11-18,563,436,742
2023-11-19,582,423,766
2023-11-20,1026,976,1166
2023-11-21,1225,1125,1291
2023-11-22,1276,1223,1453
2023-11-23,1797,1635,1954
2023-11-24,1608,1527,1682
2023-11-25,583,500,720
2023-11-26,446,305,524
2023-11-27,1515,1371,1627
2023-11-28,1546,1425,1745
2023-11-29,1191,1103,1354
2023-11-30,1048,881,1146
2023-12-01,1511,1459,1641
2023-12-02,316,144,449
2023-12-03,471,372,625
2023-12-04,1219,1158,1416
2023-12-05,1157,1054,1324
2023-12-06,1476,1294,1611
2023-12-07,1045,939,1157
2023-12-08,1372,1178,1525
2023-12-09,305,144,403
2023-12-10,398,302,518
2023-12-11,1744,1610,1794
2023-12-12,1036,845,1226
2023-12-13,1279,1164,1451
2023-12-14,1348,1224,1459
2023-12-15,1496,1344,1577
2023-12-16,480,393,558
2023-12-17,394,295,492
2023-12-18,1098,951,1177
2023-12-19,1699,1568,1892
2023-12-20,1115,1036,1183
2023-12-21,1190,1062,1257
2023-12-22,1252,1112,1302
2023-12-23,460,359,587
2023-12-24,555,427,719
2023-12-25,1322,1243,1484
2023-12-26,1127,972,1290
2023-12-27,1017,917,1129
2023-12-28,1792,1662,1973
2023-12-29,1734,1552,1912
2023-12-30,353,275,410
2023-12-31,357,176,461
