Fecha,Temperatura (°C)
2024-10-24 22:00:00,21.2
2024-10-24 23:00:00,21.0
2024-10-25 00:00:00,20.9
2024-10-25 01:00:00,20.8
2024-10-25 02:00:00,20.7
2024-10-25 03:00:00,20.6
2024-10-25 04:00:00,20.7
2024-10-25 05:00:00,20.7
2024-10-25 06:00:00,20.5
2024-10-25 07:00:00,20.8
2024-10-25 08:00:00,21.1
2024-10-25 09:00:00,22.3
2024-10-25 10:00:00,23.4
2024-10-25 11:00:00,24.3
2024-10-25 12:00:00,25.0
2024-10-25 13:00:00,25.3
2024-10-25 14:00:00,25.3
2024-10-25 15:00:00,24.9
2024-10-25 16:00:00,24.3
2024-10-25 17:00:00,23.6
2024-10-25 18:00:00,22.7
2024-10-25 19:00:00,22.0
2024-10-25 20:00:00,21.6
2024-10-25 21:00:00,21.3
2024-10-25 22:00:00,21.2
2024-10-25 23:00:00,21.2
2024-10-26 00:00:00,21.3
2024-10-26 01:00:00,21.4
2024-10-26 02:00:00,21.6
2024-10-26 03:00:00,21.6
2024-10-26 04:00:00,21.4
2024-10-26 05:00:00,21.3
2024-10-26 06:00:00,21.1
2024-10-26 07:00:00,20.9
2024-10-26 08:00:00,20.8
2024-10-26 09:00:00,21.9
2024-10-26 10:00:00,22.9
2024-10-26 11:00:00,23.4
2024-10-26 12:00:00,24.0
2024-10-26 13:00:00,24.3
2024-10-26 14:00:00,24.3
2024-10-26 15:00:00,24.1
2024-10-26 16:00:00,23.2
2024-10-26 17:00:00,22.6
2024-10-26 18:00:00,22.0
2024-10-26 19:00:00,21.3
2024-10-26 20:00:00,20.9
2024-10-26 21:00:00,20.7
2024-10-26 22:00:00,20.6
2024-10-26 23:00:00,20.6
2024-10-27 00:00:00,20.7
2024-10-27 01:00:00,20.9
2024-10-27 02:00:00,21.0
2024-10-27 03:00:00,21.1
2024-10-27 04:00:00,21.0
2024-10-27 05:00:00,20.8
2024-10-27 06:00:00,20.6
2024-10-27 07:00:00,20.6
2024-10-27 08:00:00,20.8
2024-10-27 09:00:00,21.1
2024-10-27 10:00:00,21.7
2024-10-27 11:00:00,22.5
2024-10-27 12:00:00,23.0
2024-10-27 13:00:00,23.2
2024-10-27 14:00:00,23.2
2024-10-27 15:00:00,23.0
2024-10-27 16:00:00,22.6
2024-10-27 17:00:00,22.1
2024-10-27 18:00:00,21.7
2024-10-27 19:00:00,21.4
2024-10-27 20:00:00,21.2
2024-10-27 21:00:00,21.0
2024-10-27 22:00:00,20.9
2024-10-27 23:00:00,20.9
2024-10-28 00:00:00,20.8
2024-10-28 01:00:00,20.7
2024-10-28 02:00:00,20.7
2024-10-28 03:00:00,20.6
2024-10-28 04:00:00,20.6
2024-10-28 05:00:00,20.6
2024-10-28 06:00:00,20.8
2024-10-28 07:00:00,21.0
2024-10-28 08:00:00,21.4
2024-10-28 09:00:00,21.8
2024-10-28 10:00:00,22.1
2024-10-28 11:00:00,22.4
2024-10-28 12:00:00,22.7
2024-10-28 13:00:00,23.0
2024-10-28 14:00:00,23.2
2024-10-28 15:00:00,23.2
2024-10-28 16:00:00,23.0
2024-10-28 17:00:00,22.6
2024-10-28 18:00:00,22.3
2024-10-28 19:00:00,22.0
2024-10-28 20:00:00,21.7
2024-10-28 21:00:00,21.4
2024-10-28 22:00:00,21.2
2024-10-28 23:00:00,21.1
